old_target,target,step_cps,rise_time_s,peak_time_s,overshoot_cps,overshoot_percent,settling_time_s,settling_band_cps,steady_mean_cps,steady_mean_error_cps,steady_mae_cps,steady_rmse_cps,steady_error_std_cps,steady_speed_std_cps,steady_mean_pwm,steady_pwm_std,steady_mean_abs_pid,peak_abs_pid,saturation_fraction,kp,filename,segment,samples
-2000.0,-4000.0,-2000.0,0.045000000000000005,0.8,100.00000000000009,5.000000000000004,0.06,150.0,-3976.6666666666665,-23.333333333333332,26.0,50.99019513592785,45.33823502911814,45.33823502911814,-73.89275713333332,0.4533823502911815,0.26,20.0,0.0,0.01,right_kp_0.01.txt,5,300
-4000.0,-6000.0,-2000.0,0.049999999999999996,2.54,100.00000000000009,5.000000000000004,0.08,150.0,-5975.333333333333,-24.666666666666668,26.0,50.99019513592785,44.6268479231455,44.626847923145505,-83.99079966666669,0.44626847923145496,0.26,20.0,0.006688963210702341,0.01,right_kp_0.01.txt,6,299
0.0,2000.0,2000.0,0.03166666666666667,0.06,100.00000000000009,5.000000000000004,0.04,150.0,1998.0,2.0,32.666666666666664,57.154760664940824,57.11975723571194,57.11975723571194,63.79637050000001,1.1423951447142386,0.6533333333333333,30.0,0.0,0.02,right_kp_0.02.txt,0,300
2000.0,4000.0,2000.0,0.034999999999999996,0.06,200.00000000000017,10.000000000000009,0.07,150.0,3990.0,10.0,24.666666666666668,49.6655480858378,48.64839839775475,48.64839839775475,74.34274600000002,0.972967967955095,0.49333333333333335,30.0,0.006666666666666667,0.02,right_kp_0.02.txt,1,300
4000.0,6000.0,2000.0,0.04,0.08,100.00000000000009,5.000000000000004,0.06,150.0,5994.0,6.0,23.333333333333332,48.3045891539648,47.93050524804984,47.93050524804984,84.6491214,0.9586101049609969,0.4666666666666667,30.0,0.013377926421404682,0.02,right_kp_0.02.txt,2,299
0.0,-2000.0,-2000.0,0.028333333333333335,0.06,200.00000000000017,10.000000000000009,0.07,150.0,-2000.0,0.0,28.0,52.91502622129181,52.91502622129181,52.91502622129181,-63.574714700000015,1.0583005244258363,0.56,30.0,0.0,0.02,right_kp_0.02.txt,4,300
-2000.0,-4000.0,-2000.0,0.03,0.06,200.00000000000017,10.000000000000009,0.07,150.0,-3999.3333333333335,-0.6666666666666666,36.666666666666664,60.55300708194983,60.54933709151755,60.549337091517536,-73.67275713333332,1.2109867418303508,0.7333333333333333,30.0,0.006666666666666667,0.02,right_kp_0.02.txt,5,300
-4000.0,-6000.0,-2000.0,0.03666666666666667,0.16,100.00000000000009,5.000000000000004,0.05,150.0,-5996.0,-4.0,30.666666666666668,55.37749241945383,55.23284047255461,55.23284047255461,-83.82413300000003,1.104656809451092,0.6133333333333333,30.0,0.013333333333333334,0.02,right_kp_0.02.txt,6,300
0.0,2000.0,2000.0,0.03133333333333334,0.07,200.00000000000017,10.000000000000009,0.08,150.0,2000.6666666666667,-0.6666666666666666,24.666666666666668,49.6655480858378,49.66107351056985,49.66107351056985,63.736370500000014,1.4898322053170954,0.74,30.0,0.0,0.03,right_kp_0.03.txt,0,300
2000.0,4000.0,2000.0,0.035,0.05,200.00000000000017,10.000000000000009,0.07,150.0,3999.3333333333335,0.6666666666666666,35.333333333333336,59.441848333756695,59.43810973515972,59.43810973515971,74.16274600000001,1.7831432920547916,1.06,30.0,0.010033444816053512,0.03,right_kp_0.03.txt,1,299
